GlyTouCan AC	Species Name	AnnotationCategory	Source	Source ID	tax_id
G80227NA	Human	Subsumption	GNOme	G07301IS	
G80227NA	Human	Subsumption	GNOme	G07483YN	
G80227NA	Human	Subsumption	GNOme	G10602EW	
G80227NA	Human	Subsumption	GNOme	G11908FF	
G80227NA	Human	Subsumption	GNOme	G11994QC	
G80227NA	Human	Subsumption	GNOme	G12593TX	
G80227NA	Human	Subsumption	GNOme	G13270NH	
G80227NA	Human	Subsumption	GNOme	G14023ZV	
G80227NA	Human	Subsumption	GNOme	G14190WK	
G80227NA	Human	Subsumption	GNOme	G14576KZ	
G80227NA	Human	Subsumption	GNOme	G15631KB	
G80227NA	Human	Subsumption	GNOme	G21905ZO	
G80227NA	Human	Subsumption	GNOme	G22782LH	
G80227NA	Human	Subsumption	GNOme	G25538MM	
G80227NA	Human	Subsumption	GNOme	G32460TA	
G80227NA	Human	Subsumption	GNOme	G32510SF	
G80227NA	Human	Subsumption	GNOme	G33439FJ	
G80227NA	Human	Subsumption	GNOme	G35364KM	
G80227NA	Human	Subsumption	GNOme	G36693BM	
G80227NA	Human	Subsumption	GNOme	G37597VQ	
G80227NA	Human	Subsumption	GNOme	G39916NT	
G80227NA	Human	Subsumption	GNOme	G40393FZ	
G80227NA	Human	Subsumption	GNOme	G42468DL	
G80227NA	Human	Subsumption	GNOme	G42556BP	
G80227NA	Human	Subsumption	GNOme	G44917UQ	
G80227NA	Human	Subsumption	GNOme	G45036WQ	
G80227NA	Human	Subsumption	GNOme	G45889JQ	
G80227NA	Human	Subsumption	GNOme	G46720ZO	
G80227NA	Human	Subsumption	GNOme	G49282JI	
G80227NA	Human	Subsumption	GNOme	G58276QF	
G80227NA	Human	Subsumption	GNOme	G59872UP	
G80227NA	Human	Subsumption	GNOme	G60067UC	
G80227NA	Human	Subsumption	GNOme	G61884GF	
G80227NA	Human	Subsumption	GNOme	G62070TZ	
G80227NA	Human	Subsumption	GNOme	G69777JE	
G80227NA	Human	Subsumption	GNOme	G69987TD	
G80227NA	Human	Subsumption	GNOme	G70783BY	
G80227NA	Human	Subsumption	GNOme	G72373YW	
G80227NA	Human	Subsumption	GNOme	G74038AG	
G80227NA	Human	Subsumption	GNOme	G75022UP	
G80227NA	Human	Subsumption	GNOme	G76387IG	
G80227NA	Human	Subsumption	GNOme	G77653XA	
